# L1 Error for e-1 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
3.45846000e-20    zr87
2.87090000e-20    fe61
2.74860000e-20    ca48
2.53827000e-20    nb87
2.15583000e-20    br79
1.97115000e-20    zr80
1.89496100e-20    zr81
1.83986000e-20    sc50
1.74420000e-20    si33
1.33441600e-20    nb86
1.30100800e-20    zr88
1.03212000e-20    kr81
1.01642800e-20    nb89
8.95084000e-21    y78
7.23305000e-21    nb88
6.81154000e-21    mo90
5.47554000e-21    y86
3.89256000e-21    rb83
3.79080000e-21    k45
3.70353000e-21    mo89
3.00746000e-21    mn59
2.59370000e-21    ne17
2.13152000e-21    mo88
2.09444000e-21    nb85
1.99904200e-21    nb83
1.97580000e-21    si24
1.85220000e-21    nb90
1.71479100e-21    nb84
1.70198000e-21    ni66
1.63935000e-21    ge74
1.42372000e-21    zn70
1.38481100e-21    mo87
1.02048000e-21    y87
9.33556000e-22    ni51
8.40319000e-22    zr89
7.50672000e-22    kr69
6.61411000e-22    se78
4.46240000e-22    s38
4.31200000e-22    cl40
3.90070000e-22    cr57
3.16281000e-22    cu68
2.87569000e-22    tc91
2.28351000e-22    kr82
2.05419000e-22    y77
1.37612000e-22    zr90
1.34955000e-22    ga72
1.28575000e-22    as76
8.69360000e-23    br80
8.22912000e-23    sr74
6.73670000e-23    v55
5.43575000e-23    tc90
3.79820000e-23    ar43
3.22546000e-23    fe47
2.51835000e-23    rb84
2.34200000e-23    ne24
2.01679000e-23    ti53
1.96653000e-23    nb82
1.85906000e-23    mo86
1.74135700e-23    tc89
1.53560000e-23    al31
1.39170000e-23    mg20
1.11783000e-23    co64
9.69540000e-24    fe62
4.68559000e-24    zr79
3.19419000e-24    mo85
2.76900000e-24    na26
2.04417000e-24    sc51
1.84876000e-24    k46
1.74850000e-24    si34
7.18600000e-25    p36
6.96650000e-25    ca49
4.66653000e-25    y76
4.42460000e-25    cl41
4.33560000e-25    kr83
4.19347000e-25    br81
3.76800000e-25    mg29
3.65130000e-25    se79
2.33630000e-25    rb85
2.01440000e-25    al22
1.79425200e-25    mo84
1.45980000e-25    as77
1.37750000e-25    ge75
3.87230000e-26    mn60
2.70003000e-26    cr58
2.26012000e-26    zr78
1.99750000e-26    ar44
1.99660000e-26    ni67
1.01250000e-26    cu69
7.10440000e-27    na27
5.14300000e-27    ga73
4.96620000e-27    s39
1.40100000e-27    zn71
1.24754700e-27    mo83
8.77040000e-28    co65
7.50210000e-28    kr84
7.42170000e-28    br82
6.46070000e-28    ge76
2.92368000e-28    y75
2.46702000e-28    as78
1.71520000e-28    k47
1.47370000e-28    se80
1.11280000e-28    zn72
1.10569500e-28    ga74
8.08650000e-29    si23
7.22000000e-29    fe63
3.42530000e-29    p37
3.11011000e-29    kr85
1.72930000e-29    br83
1.08106160e-29    se82
9.52214300e-30    kr86
8.19679690e-30    ge78
7.36472400e-30    ga75
6.12267510e-30    se83
6.06440000e-30    mn61
5.92051240e-30    kr87
5.85857500e-30    ge77
5.69878800e-30    as79
4.51399360e-30    k49
4.30092730e-30    k48
4.19777980e-30    ar46
4.06785000e-30    se81
4.04233970e-30    cl45
3.92255870e-30    cl43
3.88422210e-30    cl44
3.71167340e-30    s42
3.59259530e-30    s41
3.41150000e-30    s40
3.23004750e-30    p38
2.28660000e-30    cl42
7.26540000e-31    ar45
