# L1 Error for e-1 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.79031860e-29    fe62
2.78395720e-29    zr81
2.78106770e-29    cu68
2.74873240e-29    ga74
2.72883110e-29    ni67
2.68527650e-29    co65
2.68501750e-29    co64
2.68273900e-29    mn61
2.68020700e-29    br82
2.65616630e-29    mn59
2.64684390e-29    sr75
2.62234590e-29    zr79
2.60858933e-29    nb84
2.60213460e-29    nb83
2.56536740e-29    cr58
2.56150400e-29    ge74
2.54041080e-29    cu69
2.53731400e-29    tc89
2.52872500e-29    fe63
2.52099870e-29    mn60
2.47616500e-29    zn72
2.47124900e-29    zr90
2.44929150e-29    cr57
2.44706790e-29    mo84
2.44548860e-29    v55
2.42966870e-29    y79
2.42614300e-29    ga72
2.42573180e-29    ni66
2.39423690e-29    fe61
2.39185377e-29    sr74
2.38071140e-29    v54
2.30437670e-29    ti53
2.28194400e-29    as78
2.26729200e-29    tc90
2.26027570e-29    mn58
2.25889230e-29    sc51
2.25222940e-29    k47
2.23336620e-29    mo83
2.19659670e-29    ti52
2.19627875e-29    k49
2.19570610e-29    sc50
2.16302980e-29    zr78
2.14130200e-29    ni65
2.09676200e-29    se81
2.08927660e-29    ar43
2.08918100e-29    se80
2.06356332e-29    cl43
2.05899760e-29    ca49
2.04409862e-29    ar46
2.01819200e-29    zn69
2.00674084e-29    k48
2.00588394e-29    cl45
1.96786090e-29    k46
1.96223160e-29    ar45
1.95069600e-29    br78
1.94257800e-29    ga75
1.87766938e-29    cl40
1.87459300e-29    br83
1.87203332e-29    s40
1.85777419e-29    s42
1.83020585e-29    cl42
1.81041780e-29    k45
1.80949523e-29    cl44
1.80546766e-29    p37
1.77261050e-29    co63
1.76360800e-29    zn70
1.75983400e-29    ge75
1.71793200e-29    nb85
1.71166315e-29    s41
1.67709120e-29    ca48
1.67292741e-29    kr69
1.67245390e-29    s39
1.67198200e-29    cu67
1.62376588e-29    cl41
1.61993110e-29    ar44
1.59341900e-29    y78
1.52592740e-29    si23
1.47191890e-29    si34
1.45805537e-29    p38
1.40641796e-29    s38
1.37713796e-29    p36
1.37554700e-29    as74
1.33019334e-29    al31
1.32079800e-29    ge78
1.28607700e-29    ga73
1.22339495e-29    mg29
1.20480720e-29    nb82
1.17740276e-29    y77
1.14317930e-29    na27
1.09919900e-29    na26
9.92305030e-30    ne24
9.72203000e-30    ga70
8.42171000e-30    zr80
8.30605100e-30    fe47
7.39954808e-30    y75
6.95860108e-30    y76
6.50023000e-30    as76
6.10207000e-30    as79
5.79050000e-30    cu66
5.49642300e-30    rb73
5.28194000e-30    se79
4.99864000e-30    ge73
3.61356900e-30    cr56
1.14634000e-30    ge76
9.84956000e-31    al22
6.80180000e-31    ga71
