# L1 Error for e-2 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
3.49750000e-15    zn71
2.65310000e-15    y80
2.48010000e-15    cr45
2.46774000e-15    cu69
2.34950000e-15    sr78
2.29230000e-15    ar43
2.11280000e-15    sc51
2.10831000e-15    zr84
1.93940000e-15    s29
1.87480000e-15    rb75
1.81380000e-15    cu55
1.60410000e-15    o19
1.57949000e-15    ni67
1.54460000e-15    zn57
1.46000000e-15    rb76
9.71900000e-16    p27
9.18100000e-16    ti41
9.13450000e-16    kr84
8.81050000e-16    mo89
7.60930000e-16    ca49
6.00000000e-16    kr75
5.61710000e-16    nb86
5.11920000e-16    k46
5.02440000e-16    mn60
3.90811000e-16    br82
3.87132000e-16    se80
3.44230000e-16    br69
3.28790000e-16    v43
3.17280000e-16    al31
3.09170000e-16    ga59
2.34063000e-16    zr83
1.99200000e-16    na20
1.97154000e-16    cr58
1.95610000e-16    ge76
1.81065000e-16    co65
1.45500000e-16    rb74
1.33250000e-16    na26
1.09072000e-16    as78
1.00917000e-16    tc91
9.55380000e-17    mo88
9.06740000e-17    ne24
8.96800000e-17    zr82
8.73350000e-17    si34
8.47370000e-17    nb85
7.73900000e-17    sr77
7.40060000e-17    cl41
6.31580000e-17    p36
5.09131000e-17    kr85
4.74400000e-17    si25
3.60152000e-17    ga74
3.09559000e-17    zn72
2.53440000e-17    sr76
2.07355000e-17    fe63
1.96042000e-17    ar44
1.91300000e-17    mg29
1.83022000e-17    br83
1.68089000e-17    mo87
1.58281000e-17    kr71
1.29790000e-17    y79
1.18140000e-17    al23
1.06489000e-17    se81
9.64500000e-18    tc90
7.09850000e-18    k47
6.85300000e-18    n12
4.17590000e-18    b8
4.05970000e-18    ar32
3.74830000e-18    s39
3.10374000e-18    as79
3.01780000e-18    ca36
2.35430000e-18    na19
2.29630000e-18    rb73
1.98217000e-18    mn61
1.76439000e-18    ge77
1.56320000e-18    zr81
1.20520000e-18    fe48
1.09977800e-18    kr86
1.06815000e-18    ni52
9.84520000e-19    co50
7.45330000e-19    nb84
6.78810000e-19    tc89
6.59840000e-19    br68
6.13090000e-19    ga75
4.86600000e-19    na27
4.65660000e-19    mg21
3.75621000e-19    mo86
3.20100000e-19    cr44
2.42970000e-19    s28
2.20280000e-19    mn46
2.03810000e-19    y78
1.55277000e-19    se82
1.24189000e-19    p37
1.16260000e-19    kr70
1.13882000e-19    cl42
8.74960000e-20    sr75
7.55340000e-20    nb83
6.85900000e-20    zr80
5.19880000e-20    ar45
4.71980000e-20    ne17
1.69643000e-20    ge78
1.41330000e-20    s40
