                           time                    temp                     den                    ener                    sdot                   sneut                   s-snu                      ye                   1-sum
     42  2.1289859754162907E-02  9.8664480175300926E+07  7.8871472726725368E+06  1.382835E+17 -3.248879E-07  0.000000E+00 -3.248879E-07  5.000000E-01  0.000000E+00  6.910563E-09 -2.127060E-02
     43  3.1289859530645489E-02  9.8880560749767363E+07  7.8807048289962998E+06  1.382835E+17 -3.281728E-07  0.000000E+00 -3.281728E-07  5.000000E-01  0.000000E+00  7.062205E-09 -2.151978E-02
     44  4.1289859307128071E-02  1.0166091176773205E+08  7.9090658524866542E+06  1.382835E+17 -4.226201E-07  0.000000E+00 -4.226201E-07  5.000000E-01  0.000000E+00  9.161481E-09 -2.167782E-02
     45  5.1289859083610653E-02  1.0198954504460242E+08  7.8590965721871993E+06  1.382835E+17 -4.330256E-07  0.000000E+00 -4.330256E-07  5.000000E-01  0.000000E+00  9.450763E-09 -2.182495E-02
     46  6.1289858860093235E-02  1.0148381968118031E+08  7.7998934239021633E+06  1.382835E+17 -4.109609E-07  0.000000E+00 -4.109609E-07  5.000000E-01  0.000000E+00  9.045029E-09 -2.200947E-02
     47  7.1289858636575817E-02  1.0232854935992256E+08  7.9862743368477998E+06  1.382835E+17 -4.391829E-07  0.000000E+00 -4.391829E-07  5.000000E-01  0.000000E+00  9.748207E-09 -2.219624E-02
     48  8.1289858413058400E-02  1.0308951722152875E+08  7.7745893629441215E+06  1.382835E+17 -4.683284E-07  0.000000E+00 -4.683284E-07  5.000000E-01  0.000000E+00  1.043244E-08 -2.227590E-02
     49  9.1289858189540982E-02  1.0183102023402730E+08  7.6671824873505021E+06  1.382835E+17 -4.151336E-07  0.000000E+00 -4.151336E-07  5.000000E-01  0.000000E+00  9.354220E-09 -2.253303E-02
     50  1.0128985796602356E-01  1.0495116418115348E+08  8.0324910188564444E+06  1.382835E+17 -5.398034E-07  0.000000E+00 -5.398034E-07  5.000000E-01  0.000000E+00  1.218214E-08 -2.256774E-02
     51  1.1128985774250615E-01  1.0570732092234336E+08  8.0211886671156110E+06  1.382835E+17 -5.732171E-07  0.000000E+00 -5.732171E-07  5.000000E-01  0.000000E+00  1.296927E-08 -2.262540E-02
     52  1.2128985751898873E-01  1.0272996793993907E+08  7.6658815879118908E+06  1.382835E+17 -4.421430E-07  0.000000E+00 -4.421430E-07  5.000000E-01  0.000000E+00  1.015054E-08 -2.295759E-02
     53  1.3128985729547132E-01  1.0935368162943552E+08  7.8890695733335037E+06  1.382835E+17 -7.503511E-07  0.000000E+00 -7.503511E-07  5.000000E-01  0.000000E+00  1.710493E-08 -2.279590E-02
     54  1.4128985707195391E-01  1.1065752381311284E+08  8.0534105656995140E+06  1.382835E+17 -8.241036E-07  0.000000E+00 -8.241036E-07  5.000000E-01  0.000000E+00  1.880860E-08 -2.282310E-02
     55  1.5128985684843649E-01  1.0872665505819200E+08  7.6348963361241985E+06  1.382835E+17 -7.193700E-07  0.000000E+00 -7.193700E-07  5.000000E-01  0.000000E+00  1.643422E-08 -2.284530E-02
